Zeilenbeschriftungen;Summe von Wohnort;Summe von Einpendler;Summe von Auspendler;Landkreis  
01001;32323;23363;11096;Flensburg, Stadt
01002;91908;61487;27950;Kiel, Landeshauptstadt
01003;80035;43805;24823;Lübeck, Hansestadt
01004;30015;22314;11699;Neumünster, Stadt
01051;48664;29299;35628;Dithmarschen
01053;75481;34617;60157;Herzogtum Lauenburg
01054;63042;39888;42017;Nordfriesland
01055;73403;41006;52140;Ostholstein
01056;128499;68644;104486;Pinneberg
01057;46211;20486;38622;Plön
01058;100055;62176;82255;Rendsburg-Eckernförde
01059;70539;42365;56194;Schleswig-Flensburg
01060;113194;67912;89178;Segeberg
01061;51163;28041;39019;Steinburg
01062;95504;71295;79806;Stormarn
02000;768571;359520;132332;Hamburg, Freie und Hansestadt
03101;102797;66069;36715;Braunschweig, Stadt
03102;39019;25372;15819;Salzgitter, Stadt
03103;52446;78664;9872;Wolfsburg, Stadt
03151;72630;30198;59844;Gifhorn
03153;48916;23759;27165;Goslar
03154;37385;14543;29917;Helmstedt
03155;51307;26472;32117;Northeim
03157;54179;20027;41197;Peine
03158;46957;16270;37904;Wolfenbüttel
03159;122055;76429;68089;Göttingen
03241;452982;311943;247976;Region Hannover
03251;89700;48904;67447;Diepholz
03252;56509;29259;33673;Hameln-Pyrmont
03254;105638;56302;69149;Hildesheim
03255;25920;15120;17923;Holzminden
03256;48217;27420;34867;Nienburg (Weser)
03257;59725;32360;46689;Schaumburg
03351;66821;33432;42790;Celle
03352;73462;25424;49738;Cuxhaven
03353;103720;47733;85334;Harburg
03354;16270;9809;11673;Lüchow-Dannenberg
03355;69882;39249;49668;Lüneburg
03356;44884;18399;36237;Osterholz
03357;67875;38042;48963;Rotenburg (Wümme)
03358;54440;28266;34695;Heidekreis
03359;82777;41608;61158;Stade
03360;34147;18546;22675;Uelzen
03361;54763;33920;40450;Verden
03401;26125;11060;16757;Delmenhorst, Stadt
03402;18273;19824;4842;Emden, Stadt
03403;65434;42782;23860;Oldenburg (Oldenburg), Stadt
03404;66112;56561;26031;Osnabrück, Stadt
03405;25770;13013;8258;Wilhelmshaven, Stadt
03451;48941;29121;33836;Ammerland
03452;70690;35640;45201;Aurich
03453;72022;42315;46773;Cloppenburg
03454;134437;87177;81014;Emsland
03455;36374;18089;25013;Friesland
03456;53697;28302;31312;Grafschaft Bentheim
03457;62556;29511;43965;Leer
03458;55820;23840;42639;Oldenburg
03459;152640;87477;109450;Osnabrück
03460;64651;45997;37890;Vechta
03461;34751;16845;21132;Wesermarsch
03462;20752;9778;14088;Wittmund
04011;208919;118623;46268;Bremen, Stadt
04012;40837;24053;12023;Bremerhaven, Stadt
05111;251511;261388;88636;Düsseldorf, Stadt
05112;174739;86678;86190;Duisburg, Stadt
05113;206496;129689;85671;Essen, Stadt
05114;83232;51443;40345;Krefeld, Stadt
05116;96787;45183;41910;Mönchengladbach, Stadt
05117;60402;35644;36651;Mülheim an der Ruhr, Stadt
05119;75238;37455;46398;Oberhausen, Stadt
