,Meldedatum,Bundesland,Geschlecht,Altersgruppe,AnzahlFall,AnzahlTodesfall,TotalAnzahl_BL_G_AG,TotalDeath_BL_G_AG
0,2020-01-28T00:00:00.000Z,Bayern,M,A15-A34,1,0,1,0
2,2020-01-29T00:00:00.000Z,Bayern,M,A15-A34,1,0,2,0
6,2020-02-03T00:00:00.000Z,Bayern,M,A15-A34,1,0,3,0
35,2020-02-28T00:00:00.000Z,Bayern,M,A15-A34,1,0,4,0
102,2020-03-03T00:00:00.000Z,Bayern,M,A15-A34,1,0,5,0
136,2020-03-04T00:00:00.000Z,Bayern,M,A15-A34,1,0,6,0
168,2020-03-05T00:00:00.000Z,Bayern,M,A15-A34,2,0,8,0
214,2020-03-06T00:00:00.000Z,Bayern,M,A15-A34,8,0,16,0
251,2020-03-07T00:00:00.000Z,Bayern,M,A15-A34,1,0,17,0
288,2020-03-08T00:00:00.000Z,Bayern,M,A15-A34,2,0,19,0
333,2020-03-09T00:00:00.000Z,Bayern,M,A15-A34,11,0,30,0
402,2020-03-10T00:00:00.000Z,Bayern,M,A15-A34,11,0,41,0
495,2020-03-11T00:00:00.000Z,Bayern,M,A15-A34,4,0,45,0
598,2020-03-12T00:00:00.000Z,Bayern,M,A15-A34,10,0,55,0
706,2020-03-13T00:00:00.000Z,Bayern,M,A15-A34,21,0,76,0
825,2020-03-14T00:00:00.000Z,Bayern,M,A15-A34,27,0,103,0
925,2020-03-15T00:00:00.000Z,Bayern,M,A15-A34,20,0,123,0
1029,2020-03-16T00:00:00.000Z,Bayern,M,A15-A34,30,0,153,0
1158,2020-03-17T00:00:00.000Z,Bayern,M,A15-A34,52,0,205,0
1307,2020-03-18T00:00:00.000Z,Bayern,M,A15-A34,60,0,265,0
1459,2020-03-19T00:00:00.000Z,Bayern,M,A15-A34,62,0,327,0
1603,2020-03-20T00:00:00.000Z,Bayern,M,A15-A34,42,0,369,0
1,2020-01-28T00:00:00.000Z,Bayern,M,A35-A59,1,0,1,0
4,2020-01-31T00:00:00.000Z,Bayern,M,A35-A59,2,0,3,0
8,2020-02-04T00:00:00.000Z,Bayern,M,A35-A59,1,0,4,0
13,2020-02-11T00:00:00.000Z,Bayern,M,A35-A59,1,0,5,0
36,2020-02-28T00:00:00.000Z,Bayern,M,A35-A59,1,0,6,0
52,2020-02-29T00:00:00.000Z,Bayern,M,A35-A59,1,0,7,0
62,2020-03-01T00:00:00.000Z,Bayern,M,A35-A59,2,0,9,0
83,2020-03-02T00:00:00.000Z,Bayern,M,A35-A59,3,0,12,0
103,2020-03-03T00:00:00.000Z,Bayern,M,A35-A59,3,0,15,0
137,2020-03-04T00:00:00.000Z,Bayern,M,A35-A59,5,0,20,0
169,2020-03-05T00:00:00.000Z,Bayern,M,A35-A59,8,0,28,0
215,2020-03-06T00:00:00.000Z,Bayern,M,A35-A59,16,0,44,0
252,2020-03-07T00:00:00.000Z,Bayern,M,A35-A59,4,0,48,0
289,2020-03-08T00:00:00.000Z,Bayern,M,A35-A59,5,0,53,0
334,2020-03-09T00:00:00.000Z,Bayern,M,A35-A59,24,0,77,0
403,2020-03-10T00:00:00.000Z,Bayern,M,A35-A59,24,0,101,0
496,2020-03-11T00:00:00.000Z,Bayern,M,A35-A59,28,0,129,0
599,2020-03-12T00:00:00.000Z,Bayern,M,A35-A59,43,0,172,0
707,2020-03-13T00:00:00.000Z,Bayern,M,A35-A59,65,0,237,0
826,2020-03-14T00:00:00.000Z,Bayern,M,A35-A59,42,0,279,0
926,2020-03-15T00:00:00.000Z,Bayern,M,A35-A59,30,0,309,0
1030,2020-03-16T00:00:00.000Z,Bayern,M,A35-A59,47,0,356,0
1159,2020-03-17T00:00:00.000Z,Bayern,M,A35-A59,107,0,463,0
1308,2020-03-18T00:00:00.000Z,Bayern,M,A35-A59,168,0,631,0
1460,2020-03-19T00:00:00.000Z,Bayern,M,A35-A59,137,0,768,0
1604,2020-03-20T00:00:00.000Z,Bayern,M,A35-A59,83,0,851,0
7,2020-02-04T00:00:00.000Z,Bayern,M,A00-A04,1,0,1,0
12,2020-02-11T00:00:00.000Z,Bayern,M,A00-A04,1,0,2,0
212,2020-03-06T00:00:00.000Z,Bayern,M,A00-A04,1,0,3,0
493,2020-03-11T00:00:00.000Z,Bayern,M,A00-A04,1,0,4,0
1027,2020-03-16T00:00:00.000Z,Bayern,M,A00-A04,3,0,7,0
1156,2020-03-17T00:00:00.000Z,Bayern,M,A00-A04,2,0,9,0
1305,2020-03-18T00:00:00.000Z,Bayern,M,A00-A04,7,0,16,0
1457,2020-03-19T00:00:00.000Z,Bayern,M,A00-A04,3,0,19,0
26,2020-02-27T00:00:00.000Z,Bayern,M,A60-A79,1,0,1,0
84,2020-03-02T00:00:00.000Z,Bayern,M,A60-A79,1,0,2,0
170,2020-03-05T00:00:00.000Z,Bayern,M,A60-A79,1,0,3,0
