,Meldedatum,Bundesland,AnzahlFall,AnzahlTodesfall,TotalAnzahlBundesland,TotalDeathBundesland
0,2020-01-28T00:00:00.000Z,Bayern,2,0,2,0
1,2020-01-29T00:00:00.000Z,Bayern,2,0,4,0
2,2020-01-31T00:00:00.000Z,Bayern,3,0,7,0
3,2020-02-03T00:00:00.000Z,Bayern,1,0,8,0
4,2020-02-04T00:00:00.000Z,Bayern,2,0,10,0
6,2020-02-06T00:00:00.000Z,Bayern,1,0,11,0
7,2020-02-07T00:00:00.000Z,Bayern,1,0,12,0
8,2020-02-11T00:00:00.000Z,Bayern,2,0,14,0
9,2020-02-12T00:00:00.000Z,Bayern,1,0,15,0
14,2020-02-27T00:00:00.000Z,Bayern,1,0,16,0
17,2020-02-28T00:00:00.000Z,Bayern,3,0,19,0
23,2020-02-29T00:00:00.000Z,Bayern,1,0,20,0
28,2020-03-01T00:00:00.000Z,Bayern,3,0,23,0
36,2020-03-02T00:00:00.000Z,Bayern,6,0,29,0
44,2020-03-03T00:00:00.000Z,Bayern,6,0,35,0
55,2020-03-04T00:00:00.000Z,Bayern,10,0,45,0
64,2020-03-05T00:00:00.000Z,Bayern,22,1,67,1
75,2020-03-06T00:00:00.000Z,Bayern,47,0,114,1
85,2020-03-07T00:00:00.000Z,Bayern,16,0,130,1
95,2020-03-08T00:00:00.000Z,Bayern,14,0,144,1
107,2020-03-09T00:00:00.000Z,Bayern,79,0,223,1
121,2020-03-10T00:00:00.000Z,Bayern,90,2,313,3
136,2020-03-11T00:00:00.000Z,Bayern,101,0,414,3
152,2020-03-12T00:00:00.000Z,Bayern,115,1,529,4
168,2020-03-13T00:00:00.000Z,Bayern,230,2,759,6
184,2020-03-14T00:00:00.000Z,Bayern,180,2,939,8
200,2020-03-15T00:00:00.000Z,Bayern,113,2,1052,10
214,2020-03-16T00:00:00.000Z,Bayern,205,1,1257,11
230,2020-03-17T00:00:00.000Z,Bayern,394,3,1651,14
246,2020-03-18T00:00:00.000Z,Bayern,517,2,2168,16
263,2020-03-19T00:00:00.000Z,Bayern,467,1,2635,17
280,2020-03-20T00:00:00.000Z,Bayern,325,2,2960,19
5,2020-02-04T00:00:00.000Z,Niedersachsen,1,0,1,0
33,2020-03-01T00:00:00.000Z,Niedersachsen,1,0,2,0
39,2020-03-02T00:00:00.000Z,Niedersachsen,1,0,3,0
49,2020-03-03T00:00:00.000Z,Niedersachsen,6,0,9,0
60,2020-03-04T00:00:00.000Z,Niedersachsen,3,0,12,0
70,2020-03-05T00:00:00.000Z,Niedersachsen,5,0,17,0
79,2020-03-06T00:00:00.000Z,Niedersachsen,8,0,25,0
89,2020-03-07T00:00:00.000Z,Niedersachsen,7,0,32,0
100,2020-03-08T00:00:00.000Z,Niedersachsen,3,0,35,0
114,2020-03-09T00:00:00.000Z,Niedersachsen,16,0,51,0
127,2020-03-10T00:00:00.000Z,Niedersachsen,34,0,85,0
143,2020-03-11T00:00:00.000Z,Niedersachsen,52,0,137,0
159,2020-03-12T00:00:00.000Z,Niedersachsen,65,0,202,0
175,2020-03-13T00:00:00.000Z,Niedersachsen,81,0,283,0
191,2020-03-14T00:00:00.000Z,Niedersachsen,57,0,340,0
207,2020-03-15T00:00:00.000Z,Niedersachsen,48,0,388,0
221,2020-03-16T00:00:00.000Z,Niedersachsen,126,0,514,0
237,2020-03-17T00:00:00.000Z,Niedersachsen,128,0,642,0
253,2020-03-18T00:00:00.000Z,Niedersachsen,187,0,829,0
270,2020-03-19T00:00:00.000Z,Niedersachsen,139,0,968,0
286,2020-03-20T00:00:00.000Z,Niedersachsen,55,0,1023,0
10,2020-02-25T00:00:00.000Z,Baden-Württemberg,2,0,2,0
11,2020-02-26T00:00:00.000Z,Baden-Württemberg,5,0,7,0
13,2020-02-27T00:00:00.000Z,Baden-Württemberg,2,0,9,0
16,2020-02-28T00:00:00.000Z,Baden-Württemberg,3,0,12,0
22,2020-02-29T00:00:00.000Z,Baden-Württemberg,2,0,14,0
35,2020-03-02T00:00:00.000Z,Baden-Württemberg,11,0,25,0
43,2020-03-03T00:00:00.000Z,Baden-Württemberg,11,0,36,0
54,2020-03-04T00:00:00.000Z,Baden-Württemberg,37,0,73,0
63,2020-03-05T00:00:00.000Z,Baden-Württemberg,35,0,108,0
74,2020-03-06T00:00:00.000Z,Baden-Württemberg,45,1,153,1
84,2020-03-07T00:00:00.000Z,Baden-Württemberg,32,0,185,1
94,2020-03-08T00:00:00.000Z,Baden-Württemberg,15,0,200,1
106,2020-03-09T00:00:00.000Z,Baden-Württemberg,48,0,248,1
120,2020-03-10T00:00:00.000Z,Baden-Württemberg,110,0,358,1
135,2020-03-11T00:00:00.000Z,Baden-Württemberg,137,3,495,4
151,2020-03-12T00:00:00.000Z,Baden-Württemberg,174,3,669,7
