Nr;Gemeinde;Wohnort;  Männer  ;  Frauen  ; Deutsche ;Ausländer;u. 20 J.;20 - u 25 J.;55 J. u älter;Arbeitsort;"Wohnort
gleich
Arbeitsort";Einpendler;Auspendler;"Zahl 
der 
Betriebe";;;
01001000;Flensburg, Stadt;32,323;16,799;15,524;28,676;3,628;640;3,358;5,857;44,607;21,227;23,363;11,096;2,362;;;
01002000;Kiel, Landeshauptstadt;91,908;48,123;43,785;83,977;7,855;1,431;7,914;16,280;125,483;63,957;61,487;27,950;5,920;;;
01003000;Lübeck, Hansestadt;80,035;41,539;38,496;73,229;6,764;1,400;6,595;15,558;99,053;55,206;43,805;24,823;5,483;;;
01004000;Neumünster, Stadt;30,015;16,155;13,860;27,384;2,616;732;2,712;6,230;40,641;18,316;22,314;11,699;2,211;;;
01051001;Albersdorf;1,243;674;569;1,183;57;48;128;249;1,119;260;859;983;113;;;
01051002;Arkebek;93;52;41;*;*;5;10;17;17;6;11;87;6;;;
01051003;Averlak;232;151;81;226;6;7;25;64;94;15;79;217;18;;;
01051004;Bargenstedt;342;176;166;337;5;9;24;64;162;28;134;314;23;;;
01051005;Barkenholm;70;36;34;67;3;*;6;16;*;5;*;65;*;;;
01051006;Barlt;291;164;127;281;10;7;29;78;72;22;50;269;20;;;
01051008;Bergewöhrden;9;5;4;9;;*;*;;*;;*;9;*;;;
01051010;Brickeln;94;56;38;91;3;8;16;12;19;3;16;91;6;;;
01051011;Brunsbüttel, Stadt;4,711;2,806;1,905;4,438;273;125;407;1,111;7,025;2,561;4,463;2,150;321;;;
01051012;Buchholz;366;214;152;361;5;20;47;57;109;25;84;341;21;;;
01051013;Büsum;1,398;700;698;1,267;131;45;104;365;2,207;779;1,425;619;299;;;
01051014;Büsumer Deichhausen;106;46;60;95;11;4;5;23;53;13;40;93;11;;;
01051015;Bunsoh;278;147;131;274;4;10;18;75;106;23;83;255;20;;;
01051016;Burg (Dithmarschen);1,404;799;605;1,365;39;54;136;318;634;249;385;1,155;92;;;
01051017;Busenwurth;109;70;39;103;6;*;11;23;24;6;18;103;6;;;
01051019;Dellstedt;261;153;108;*;*;17;27;54;48;17;31;244;20;;;
01051020;Delve;249;134;115;*;*;9;21;71;45;14;31;235;15;;;
01051021;Diekhusen-Fahrstedt;289;164;125;285;4;11;24;65;39;7;32;282;9;;;
01051022;Dingen;252;152;100;248;4;9;17;60;75;8;67;244;12;;;
01051023;Dörpling;230;121;109;*;*;13;20;41;48;9;39;221;11;;;
01051024;Eddelak;577;344;233;568;9;13;44;118;164;36;128;541;34;;;
01051026;Eggstedt;312;183;129;*;*;15;28;64;27;10;17;302;10;;;
01051027;Elpersbüttel;370;210;160;350;20;12;31;64;54;22;32;348;22;;;
01051028;Epenwöhrden;295;155;140;*;*;12;25;55;111;13;98;282;18;;;
01051030;Fedderingen;114;63;51;111;3;4;15;25;*;7;*;107;*;;;
01051032;Frestedt;130;73;57;*;*;4;12;21;44;11;33;119;10;;;
01051033;Friedrichsgabekoog;13;6;7;13;;;;3;113;4;109;9;8;;;
01051034;Friedrichskoog;759;442;317;687;72;24;75;181;713;256;456;503;97;;;
01051035;Gaushorn;73;43;30;*;*;;5;20;*;5;*;68;*;;;
01051036;Glüsing;36;17;19;36;;4;5;7;*;*;*;*;*;;;
01051037;Großenrade;181;105;76;181;;3;16;41;*;8;*;173;*;;;
01051038;Groven;25;19;6;22;3;*;4;6;42;6;35;19;8;;;
01051039;Gudendorf;156;87;69;148;8;*;11;35;198;17;181;139;13;;;
01051043;Hedwigenkoog;110;73;37;65;45;5;19;14;*;46;*;64;*;;;
01051044;Heide, Stadt;7,716;4,061;3,655;7,181;530;228;865;1,456;12,033;3,776;8,250;3,940;763;;;
01051045;Hellschen-Heringsand-Untersch.;42;22;20;42;;*;9;9;32;4;28;38;8;;;
01051046;Helse;326;205;121;320;5;12;33;89;66;16;50;310;15;;;
01051047;Hemme;189;109;80;169;20;7;10;44;88;29;59;160;20;;;
01051048;Hemmingstedt;1,210;652;558;1,135;75;30;101;264;1,315;204;1,109;1,006;66;;;
01051049;Hennstedt;690;381;309;670;20;32;59;121;506;126;380;564;59;;;
01051050;Hillgroven;20;12;8;*;*;*;*;7;*;3;*;17;*;;;
01051051;Hochdonn;413;256;157;407;6;5;49;102;95;20;75;393;14;;;
01051052;Hövede;18;9;9;18;;;*;5;3;*;*;*;3;;;
01051053;Hollingstedt;113;57;56;*;*;7;13;17;13;4;9;109;6;;;
01051054;Immenstedt;34;17;17;34;;*;*;9;7;4;3;30;5;;;
01051057;Kaiser-Wilhelm-Koog;135;76;59;122;13;7;12;27;79;12;67;123;15;;;
01051058;Karolinenkoog;55;32;23;51;3;*;4;12;34;10;24;45;9;;;
01051060;Kleve;144;77;67;*;*;3;5;32;*;10;*;134;*;;;
01051061;Krempel;225;126;99;*;*;14;21;46;21;4;17;221;7;;;
01051062;Kronprinzenkoog;335;207;128;283;52;21;28;69;321;67;254;268;33;;;
01051063;Krumstedt;180;105;75;177;3;17;16;40;53;12;41;168;13;;;
01051064;Kuden;246;150;96;241;5;7;21;57;7;*;*;*;4;;;
01051065;Lehe;399;217;182;385;14;14;35;83;113;40;73;359;20;;;
01051067;Lieth;136;70;66;133;3;7;8;27;*;12;*;124;*;;;
01051068;Linden;344;194;150;340;3;10;33;61;84;14;69;330;16;;;
01051069;Lohe-Rickelshof;754;364;390;737;17;13;61;157;300;30;270;724;37;;;
01051071;Lunden;552;336;216;504;48;31;52;115;501;99;402;453;46;;;
01051072;Marne, Stadt;2,102;1,151;951;1,996;106;65;229;402;1,953;643;1,310;1,459;163;;;
01051073;Marnerdeich;150;90;60;146;4;7;10;31;31;4;27;146;6;;;
01051074;Meldorf, Stadt;2,494;1,321;1,173;2,386;108;89;211;628;3,905;925;2,980;1,569;241;;;
01051075;Neuenkirchen;458;277;181;375;82;24;44;74;196;102;94;356;30;;;
01051076;Neufeld;231;131;100;223;8;8;12;54;58;11;47;220;11;;;
01051077;Neufelderkoog;30;14;16;30;;3;*;8;9;3;6;27;5;;;
01051078;Nindorf;450;245;205;444;5;9;40;105;257;28;229;422;27;;;
01051079;Norddeich;175;101;74;154;21;11;20;37;63;24;39;151;11;;;
